Territory_code,Plant_code,Brand_code,Package,Week_End_Date,Sum of Plan,fact,row_id
A,a,AC,TP 0.2,2023-01-06,1.0,0.01,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2023-01-13,1.0,4.01,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2023-01-20,61.0,6.01,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2023-01-27,0.0,8.01,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2023-02-03,18.878999710083008,9.519999990463257,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2023-02-10,75.18300008773804,135.05599547386169,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2023-02-17,13.361999988555908,33.29499913215637,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2023-02-24,9.123000025749208,47.56000019073486,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2023-03-03,70.29800341278315,2.8629999256134036,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2023-03-10,0.1650000018998978,1.9119999504089356,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2023-03-17,0.1960000013932583,1.9119999504089356,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2023-03-24,0.1960000013932583,1.9119999504089356,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2023-03-31,2.162999987602234,0.01,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2023-04-07,11.823000192642212,11.421999702453611,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2023-04-14,11.823000192642212,6.666999826431274,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2023-04-21,5.980000019073486,10.470999965667724,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2023-04-28,5.980000019073486,3.8139999008178718,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2023-05-05,1.108000010251999,0.9609999752044678,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2023-05-12,2.52999996766448,2.8629999256134036,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2023-05-19,0.5510000009089706,11.421999702453611,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2023-05-26,0.5120000075548886,10.470999727249145,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2023-06-02,2.6819999739527702,5.715999851226806,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2023-06-09,0.0,2.8629999256134036,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2023-06-16,5.506000101566315,1.9119999504089356,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2023-06-23,4.516000032424927,2.8629999256134036,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2023-06-30,3.8009999990463257,2.8629999256134036,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2023-07-07,6.411000102758408,3.813999900817871,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2023-07-14,6.52700001001358,2.8629999256134036,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2023-07-21,6.099999964237213,0.01,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2023-07-28,5.251000016927719,3.813999900817871,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2023-08-04,6.529999911785126,0.01,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2023-08-11,4.870999991893768,2.8629999256134036,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2023-08-18,5.5210000872612,3.813999900817871,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2023-08-25,5.851000070571899,0.01,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2023-09-01,5.887999922037125,5.715999851226808,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2023-09-08,7.048000007867813,3.813999900817871,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2023-09-15,5.065000087022781,18.07899952888489,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2023-09-22,17.811999768018723,6.666999826431274,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2023-09-29,118.01700142025948,5.715999851226806,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2023-10-06,9.0,9.01,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2023-10-13,9.0,4.01,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2023-10-20,9.0,2.01,A_a_AC_TP 0.2
A,a,AC,TP 0.2,2023-10-27,12.0,1.01,A_a_AC_TP 0.2
